Eurofins EAG Materials Science, LLC
:Sample 2829
2/17/2026
Drawn Curves,8
Num of Cycles,273

H,,C,,O,,F,,N,,AL->,,Si->,,Ta->
103.95,1.8951E+19,104,5.3522E+17,104.05,3.7922E+22,104.16,4.6225E+16,104.21,2.9880E+17,103.71,3.2078E+22,103.79,1.9564E+18,104.14,4.9482E+17
104.68,2.0690E+19,104.73,5.3082E+17,104.78,3.8222E+22,104.89,4.8908E+16,104.94,2.7839E+17,104.44,3.2792E+22,104.52,1.9802E+18,104.87,5.5175E+17
105.42,2.0007E+19,105.47,5.1164E+17,105.52,3.5772E+22,105.63,5.1087E+16,105.68,2.7591E+17,105.18,2.9302E+22,105.26,1.9159E+18,105.61,5.0260E+17
106.15,1.9543E+19,106.2,4.4521E+17,106.25,3.7102E+22,106.36,4.4847E+16,106.41,2.9561E+17,105.91,3.2209E+22,105.99,2.0257E+18,106.34,4.7524E+17
106.89,1.9436E+19,106.94,4.9914E+17,106.99,3.5752E+22,107.1,4.9948E+16,107.15,2.9814E+17,106.65,2.9983E+22,106.73,2.0363E+18,107.08,5.1607E+17
107.62,2.1457E+19,107.67,4.1916E+17,107.72,3.5314E+22,107.83,5.0437E+16,107.88,3.0589E+17,107.38,3.4086E+22,107.46,2.0833E+18,107.81,5.1374E+17
108.36,1.9022E+19,108.41,5.0153E+17,108.46,3.9878E+22,108.57,4.8540E+16,108.62,2.8856E+17,108.12,3.1962E+22,108.2,2.0091E+18,108.55,4.8497E+17
109.09,1.8871E+19,109.14,4.9416E+17,109.19,3.6736E+22,109.3,5.2025E+16,109.35,3.1196E+17,108.85,3.4155E+22,108.93,1.7716E+18,109.28,5.3009E+17
109.83,1.9969E+19,109.88,5.3136E+17,109.93,3.8864E+22,110.04,4.7496E+16,110.09,3.3050E+17,109.59,3.2212E+22,109.67,2.1154E+18,110.02,5.9254E+17
110.56,2.1585E+19,110.61,4.8563E+17,110.66,3.7204E+22,110.77,4.7281E+16,110.82,3.2140E+17,110.32,2.9687E+22,110.4,2.0499E+18,110.75,6.8184E+17
111.3,1.9122E+19,111.35,4.4297E+17,111.4,3.8158E+22,111.51,5.1583E+16,111.56,2.7277E+17,111.06,3.2338E+22,111.14,1.9381E+18,111.49,1.5085E+18
112.03,2.0241E+19,112.08,4.6618E+17,112.13,3.8549E+22,112.24,4.9957E+16,112.29,2.9882E+17,111.79,3.3594E+22,111.87,2.0772E+18,112.22,3.9461E+18
112.77,2.0687E+19,112.82,5.2971E+17,112.87,3.7808E+22,112.98,5.1618E+16,113.03,2.8954E+17,112.53,3.4086E+22,112.61,2.0309E+18,112.96,1.3853E+19
113.51,1.9433E+19,113.56,5.1399E+17,113.61,3.7243E+22,113.72,4.9522E+16,113.77,2.9403E+17,113.27,3.0111E+22,113.35,2.0430E+18,113.7,4.3018E+19
114.24,2.0989E+19,114.29,4.5469E+17,114.34,3.7417E+22,114.45,4.9128E+16,114.5,3.2434E+17,114,3.0264E+22,114.08,2.0782E+18,114.43,1.4052E+20
114.98,1.9606E+19,115.03,4.7059E+17,115.08,4.1359E+22,115.19,5.1097E+16,115.24,2.9562E+17,114.74,3.2124E+22,114.82,2.1089E+18,115.17,3.5235E+20
115.71,2.0853E+19,115.76,5.1048E+17,115.81,3.9565E+22,115.92,4.9674E+16,115.97,2.9995E+17,115.47,3.1112E+22,115.55,2.0285E+18,115.9,7.6659E+20
116.45,2.0365E+19,116.5,4.7093E+17,116.55,3.8358E+22,116.66,5.0348E+16,116.71,3.0361E+17,116.21,3.3471E+22,116.29,1.9578E+18,116.64,1.6712E+21
117.18,2.0158E+19,117.23,5.3985E+17,117.28,3.0764E+22,117.39,4.9153E+16,117.44,3.0773E+17,116.94,3.2077E+22,117.02,1.9743E+18,117.37,3.3419E+21
117.92,1.8233E+19,117.97,5.0910E+17,118.02,3.3859E+22,118.13,4.5553E+16,118.18,3.0375E+17,117.68,2.6961E+22,117.76,2.1470E+18,118.11,5.0399E+21
118.65,2.0598E+19,118.7,4.6729E+17,118.75,2.8654E+22,118.86,5.6123E+16,118.91,2.5981E+17,118.41,2.4010E+22,118.49,1.9587E+18,118.84,9.0528E+21
119.39,1.9442E+19,119.44,4.7787E+17,119.49,2.1674E+22,119.6,4.6124E+16,119.65,2.9649E+17,119.15,2.1700E+22,119.23,1.9661E+18,119.58,1.3403E+22
120.12,1.8802E+19,120.17,5.4090E+17,120.22,1.5414E+22,120.33,5.4265E+16,120.38,3.0085E+17,119.88,1.5956E+22,119.96,1.9779E+18,120.31,1.6770E+22
120.86,1.7853E+19,120.91,4.8521E+17,120.96,1.2974E+22,121.07,4.9574E+16,121.12,2.7000E+17,120.62,1.3251E+22,120.7,1.9837E+18,121.05,2.4015E+22
121.59,2.0225E+19,121.64,4.8430E+17,121.69,8.1140E+21,121.8,4.8858E+16,121.85,2.9680E+17,121.35,8.2566E+21,121.43,2.0208E+18,121.78,2.3694E+22
122.33,2.0370E+19,122.38,5.1679E+17,122.43,5.1493E+21,122.54,5.0606E+16,122.59,2.6870E+17,122.09,5.3872E+21,122.17,2.1017E+18,122.52,2.7531E+22
123.06,1.8119E+19,123.11,5.5701E+17,123.16,2.3818E+21,123.27,5.3830E+16,123.32,2.8365E+17,122.82,2.6838E+21,122.9,1.8622E+18,123.25,2.9056E+22
123.8,2.0053E+19,123.85,5.4137E+17,123.9,1.3406E+21,124.01,5.2080E+16,124.06,2.9619E+17,123.56,1.5104E+21,123.64,1.8584E+18,123.99,2.9583E+22
124.53,1.9300E+19,124.58,5.1622E+17,124.63,5.2317E+20,124.74,5.3149E+16,124.79,2.6531E+17,124.29,6.8206E+20,124.37,1.9075E+18,124.72,2.5743E+22
125.27,2.0217E+19,125.32,4.8802E+17,125.37,2.0885E+20,125.48,5.1565E+16,125.53,3.0203E+17,125.03,2.8603E+20,125.11,2.0290E+18,125.46,3.3438E+22
126.01,1.8220E+19,126.06,4.6859E+17,126.11,8.3221E+19,126.22,5.1722E+16,126.27,3.1082E+17,125.77,1.0150E+20,125.85,2.1066E+18,126.2,2.9552E+22
126.74,2.0520E+19,126.79,5.1839E+17,126.84,3.5108E+19,126.95,5.5630E+16,127,3.2005E+17,126.5,3.6970E+19,126.58,1.9206E+18,126.93,2.9129E+22
127.48,1.9644E+19,127.53,5.0563E+17,127.58,1.7243E+19,127.69,4.6833E+16,127.74,2.9506E+17,127.24,1.1022E+19,127.32,2.0774E+18,127.67,2.7238E+22
128.21,2.1985E+19,128.26,4.9585E+17,128.31,1.1766E+19,128.42,4.9904E+16,128.47,2.8151E+17,127.97,2.7151E+18,128.05,2.1754E+18,128.4,3.0132E+22
128.95,1.8650E+19,129,5.2531E+17,129.05,1.0202E+19,129.16,4.7348E+16,129.21,2.6651E+17,128.71,7.2008E+17,128.79,2.0775E+18,129.14,3.0040E+22
129.68,1.9365E+19,129.73,4.7224E+17,129.78,1.0720E+19,129.89,4.8694E+16,129.94,3.0337E+17,129.44,2.2316E+17,129.52,2.1355E+18,129.87,3.1464E+22
130.42,1.9212E+19,130.47,4.9959E+17,130.52,9.8113E+18,130.63,5.1743E+16,130.68,3.1545E+17,130.18,1.2759E+17,130.26,1.9116E+18,130.61,3.1194E+22
131.15,2.1368E+19,131.2,4.6642E+17,131.25,1.0463E+19,131.36,5.8315E+16,131.41,2.7597E+17,130.91,1.0543E+17,130.99,2.0532E+18,131.34,2.8317E+22
131.89,2.1442E+19,131.94,4.9739E+17,131.99,9.8819E+18,132.1,4.7383E+16,132.15,3.2286E+17,131.65,1.0148E+17,131.73,1.9752E+18,132.08,3.2142E+22
132.62,1.9488E+19,132.67,4.5547E+17,132.72,9.6910E+18,132.83,5.0508E+16,132.88,2.7662E+17,132.38,9.7104E+16,132.46,2.1386E+18,132.81,2.8819E+22
133.36,2.0302E+19,133.41,4.6048E+17,133.46,9.9343E+18,133.57,5.2531E+16,133.62,3.0147E+17,133.12,9.8072E+16,133.2,2.0749E+18,133.55,3.1272E+22
134.09,2.2046E+19,134.14,4.5748E+17,134.19,9.6801E+18,134.3,4.8102E+16,134.35,3.1697E+17,133.85,1.0058E+17,133.93,2.0532E+18,134.28,3.2500E+22
134.83,2.0173E+19,134.88,5.1504E+17,134.93,1.0355E+19,135.04,5.1963E+16,135.09,3.3106E+17,134.59,9.9972E+16,134.67,2.0188E+18,135.02,3.0098E+22
135.56,2.0066E+19,135.61,5.2311E+17,135.66,1.0005E+19,135.77,4.9000E+16,135.82,3.1136E+17,135.32,1.0560E+17,135.4,1.9210E+18,135.75,3.1296E+22
136.3,1.7981E+19,136.35,5.0448E+17,136.4,9.6554E+18,136.51,5.1706E+16,136.56,3.1913E+17,136.06,9.3784E+16,136.14,2.0183E+18,136.49,2.8151E+22
137.03,1.7576E+19,137.08,5.3160E+17,137.13,1.0541E+19,137.24,5.3300E+16,137.29,2.9162E+17,136.79,1.0365E+17,136.87,2.1098E+18,137.22,2.9783E+22
137.77,2.1302E+19,137.82,4.9061E+17,137.87,9.8146E+18,137.98,5.4765E+16,138.03,3.1431E+17,137.53,9.8621E+16,137.61,2.1409E+18,137.96,3.1752E+22
138.51,2.1943E+19,138.56,4.9236E+17,138.61,1.0029E+19,138.72,4.9740E+16,138.77,2.7685E+17,138.27,9.8960E+16,138.35,1.8191E+18,138.7,2.9852E+22
139.24,2.0261E+19,139.29,5.2930E+17,139.34,1.0430E+19,139.45,5.1117E+16,139.5,3.1933E+17,139,1.0429E+17,139.08,1.9475E+18,139.43,2.9527E+22
139.98,1.9628E+19,140.03,4.8027E+17,140.08,1.0200E+19,140.19,5.2517E+16,140.24,3.0244E+17,139.74,1.0079E+17,139.82,1.8611E+18,140.17,2.9962E+22
140.71,1.9421E+19,140.76,5.5018E+17,140.81,9.4556E+18,140.92,4.8574E+16,140.97,3.2012E+17,140.47,1.0622E+17,140.55,2.0333E+18,140.9,3.2390E+22
141.45,2.1038E+19,141.5,4.2322E+17,141.55,1.0551E+19,141.66,5.2972E+16,141.71,2.9784E+17,141.21,9.1781E+16,141.29,2.1893E+18,141.64,2.9218E+22
142.18,2.1857E+19,142.23,5.3850E+17,142.28,1.0254E+19,142.39,4.5799E+16,142.44,3.0237E+17,141.94,9.3173E+16,142.02,1.9128E+18,142.37,2.8935E+22
142.92,2.1064E+19,142.97,4.7186E+17,143.02,9.6859E+18,143.13,5.0629E+16,143.18,3.0073E+17,142.68,1.0283E+17,142.76,2.0011E+18,143.11,3.0505E+22
143.65,2.1377E+19,143.7,5.1110E+17,143.75,9.6653E+18,143.86,4.7778E+16,143.91,3.0997E+17,143.41,1.0198E+17,143.49,2.0864E+18,143.84,3.0710E+22
144.39,2.0656E+19,144.44,5.0365E+17,144.49,1.0709E+19,144.6,4.7139E+16,144.65,2.7526E+17,144.15,9.5295E+16,144.23,2.0652E+18,144.58,2.7649E+22
145.12,1.7749E+19,145.17,5.6435E+17,145.22,1.0184E+19,145.33,4.4833E+16,145.38,2.7754E+17,144.88,9.5266E+16,144.96,2.0200E+18,145.31,2.8907E+22
145.86,1.8563E+19,145.91,4.7648E+17,145.96,1.0067E+19,146.07,5.1560E+16,146.12,2.8623E+17,145.62,9.2513E+16,145.7,2.0473E+18,146.05,2.7283E+22
146.59,2.1478E+19,146.64,5.0515E+17,146.69,1.0657E+19,146.8,4.8851E+16,146.85,2.8466E+17,146.35,1.0674E+17,146.43,2.0433E+18,146.78,2.9085E+22
147.33,2.0358E+19,147.38,5.1614E+17,147.43,1.1129E+19,147.54,5.1545E+16,147.59,3.1948E+17,147.09,9.5786E+16,147.17,2.1090E+18,147.52,2.9855E+22
148.06,1.8704E+19,148.11,5.0107E+17,148.16,9.2911E+18,148.27,4.6378E+16,148.32,2.8951E+17,147.82,9.7691E+16,147.9,2.4889E+18,148.25,3.1304E+22
148.8,1.7822E+19,148.85,5.0670E+17,148.9,9.6370E+18,149.01,4.7999E+16,149.06,3.2124E+17,148.56,9.6538E+16,148.64,3.5254E+18,148.99,3.0648E+22
149.53,2.1008E+19,149.58,5.1158E+17,149.63,9.4710E+18,149.74,5.0317E+16,149.79,2.9013E+17,149.29,9.7467E+16,149.37,6.6998E+18,149.72,3.0608E+22
150.27,1.8850E+19,150.32,4.9169E+17,150.37,1.0213E+19,150.48,5.2672E+16,150.53,2.7715E+17,150.03,9.3795E+16,150.11,1.4232E+19,150.46,2.9115E+22
151.01,1.9183E+19,151.06,5.1219E+17,151.11,9.5283E+18,151.22,4.8189E+16,151.27,3.1241E+17,150.77,1.0043E+17,150.85,3.3434E+19,151.2,3.2231E+22
151.74,2.0148E+19,151.79,5.0565E+17,151.84,1.0136E+19,151.95,5.0992E+16,152,3.0270E+17,151.5,9.1983E+16,151.58,7.2502E+19,151.93,2.9802E+22
152.48,2.0556E+19,152.53,5.4008E+17,152.58,1.0401E+19,152.69,5.2730E+16,152.74,2.9995E+17,152.24,1.0198E+17,152.32,1.6577E+20,152.67,3.1589E+22
153.21,2.1111E+19,153.26,4.4114E+17,153.31,1.0770E+19,153.42,5.1397E+16,153.47,3.0073E+17,152.97,9.5229E+16,153.05,3.1461E+20,153.4,3.0168E+22
153.95,1.9474E+19,154,4.6830E+17,154.05,9.8781E+18,154.16,4.8138E+16,154.21,3.1198E+17,153.71,1.0046E+17,153.79,6.6710E+20,154.14,2.7671E+22
154.68,2.0173E+19,154.73,5.1389E+17,154.78,1.0515E+19,154.89,4.6493E+16,154.94,2.8980E+17,154.44,1.0647E+17,154.52,1.3937E+21,154.87,3.0176E+22
155.42,1.9197E+19,155.47,5.2643E+17,155.52,9.4832E+18,155.63,5.6383E+16,155.68,3.2398E+17,155.18,1.0283E+17,155.26,2.4741E+21,155.61,2.8798E+22
156.15,1.9667E+19,156.2,4.9826E+17,156.25,1.0506E+19,156.36,5.0194E+16,156.41,3.2177E+17,155.91,1.0035E+17,155.99,3.7598E+21,156.34,2.8846E+22
156.89,2.0644E+19,156.94,5.0752E+17,156.99,9.3576E+18,157.1,5.5885E+16,157.15,3.0316E+17,156.65,9.7433E+16,156.73,6.0365E+21,157.08,2.6647E+22
157.62,2.0603E+19,157.67,4.8958E+17,157.72,9.8416E+18,157.83,5.0987E+16,157.88,2.8761E+17,157.38,9.8365E+16,157.46,9.7529E+21,157.81,2.7113E+22
158.36,2.1371E+19,158.41,4.7182E+17,158.46,1.0479E+19,158.57,5.0969E+16,158.62,3.0564E+17,158.12,1.0102E+17,158.2,1.2635E+22,158.55,2.0468E+22
159.09,2.0380E+19,159.14,4.9755E+17,159.19,9.4696E+18,159.3,4.9740E+16,159.35,2.8202E+17,158.85,1.0656E+17,158.93,1.7851E+22,159.28,1.9398E+22
159.83,2.0220E+19,159.88,4.9224E+17,159.93,9.6261E+18,160.04,4.9849E+16,160.09,2.8576E+17,159.59,1.0210E+17,159.67,2.3834E+22,160.02,1.4668E+22
160.56,1.8736E+19,160.61,5.0474E+17,160.66,1.0463E+19,160.77,5.1072E+16,160.82,2.8339E+17,160.32,1.0211E+17,160.4,2.8406E+22,160.75,1.1030E+22
161.3,1.9528E+19,161.35,4.7255E+17,161.4,1.0083E+19,161.51,5.2130E+16,161.56,2.9894E+17,161.06,1.0334E+17,161.14,3.0885E+22,161.49,7.5722E+21
162.03,1.9482E+19,162.08,5.2653E+17,162.13,1.0242E+19,162.24,5.3294E+16,162.29,3.3197E+17,161.79,9.9564E+16,161.87,3.6599E+22,162.22,4.4208E+21
162.77,1.9128E+19,162.82,5.3552E+17,162.87,1.0321E+19,162.98,5.0989E+16,163.03,3.0950E+17,162.53,9.2606E+16,162.61,4.2969E+22,162.96,2.3822E+21
163.51,2.2978E+19,163.56,5.0505E+17,163.61,1.0083E+19,163.72,4.9482E+16,163.77,3.1673E+17,163.27,1.0045E+17,163.35,4.4458E+22,163.7,1.2000E+21
164.24,1.9676E+19,164.29,5.0208E+17,164.34,9.5738E+18,164.45,4.9380E+16,164.5,2.9605E+17,164,1.1343E+17,164.08,4.0984E+22,164.43,4.9851E+20
164.98,2.1984E+19,165.03,4.8678E+17,165.08,9.6551E+18,165.19,5.2363E+16,165.24,2.9076E+17,164.74,9.4207E+16,164.82,5.0636E+22,165.17,2.1768E+20
165.71,2.0374E+19,165.76,5.2706E+17,165.81,9.0785E+18,165.92,4.9719E+16,165.97,2.9198E+17,165.47,1.0388E+17,165.55,4.3640E+22,165.9,8.4144E+19
166.45,2.0755E+19,166.5,5.1053E+17,166.55,1.0517E+19,166.66,4.9135E+16,166.71,3.2266E+17,166.21,9.7199E+16,166.29,4.9753E+22,166.64,2.9837E+19
167.18,2.0010E+19,167.23,4.8559E+17,167.28,1.0088E+19,167.39,4.7527E+16,167.44,2.7768E+17,166.94,1.0049E+17,167.02,4.6682E+22,167.37,8.4833E+18
167.92,2.0285E+19,167.97,5.1413E+17,168.02,9.8604E+18,168.13,4.8010E+16,168.18,3.1721E+17,167.68,9.4322E+16,167.76,5.4540E+22,168.11,2.6321E+18
168.65,1.9965E+19,168.7,5.4407E+17,168.75,9.9556E+18,168.86,4.7742E+16,168.91,3.0400E+17,168.41,9.8897E+16,168.49,4.8702E+22,168.84,9.7778E+17
169.39,1.9355E+19,169.44,5.3136E+17,169.49,1.0781E+19,169.6,4.7373E+16,169.65,2.9910E+17,169.15,1.0055E+17,169.23,4.8206E+22,169.58,6.1965E+17
170.12,2.0683E+19,170.17,5.1897E+17,170.22,9.1094E+18,170.33,4.3807E+16,170.38,3.0920E+17,169.88,1.0532E+17,169.96,4.5981E+22,170.31,4.9496E+17
170.86,1.9269E+19,170.91,5.1481E+17,170.96,1.0074E+19,171.07,5.1384E+16,171.12,2.9931E+17,170.62,1.0442E+17,170.7,4.8552E+22,171.05,5.5192E+17
171.59,1.8027E+19,171.64,4.9708E+17,171.69,1.0004E+19,171.8,4.9217E+16,171.85,3.1924E+17,171.35,1.0570E+17,171.43,5.2905E+22,171.78,5.0226E+17
172.33,2.0165E+19,172.38,5.5217E+17,172.43,1.0124E+19,172.54,5.0741E+16,172.59,3.2566E+17,172.09,9.7839E+16,172.17,5.2048E+22,172.52,4.7384E+17
173.06,1.7640E+19,173.11,5.2986E+17,173.16,9.0501E+18,173.27,4.5975E+16,173.32,2.9572E+17,172.82,9.6895E+16,172.9,4.9540E+22,173.25,4.9647E+17
173.8,2.1311E+19,173.85,4.7890E+17,173.9,1.0634E+19,174.01,5.4850E+16,174.06,2.7691E+17,173.56,9.8479E+16,173.64,5.2338E+22,173.99,4.9790E+17
174.53,2.1048E+19,174.58,4.6714E+17,174.63,1.0333E+19,174.74,5.1601E+16,174.79,3.0322E+17,174.29,1.0984E+17,174.37,5.2001E+22,174.72,5.2432E+17
175.27,2.2027E+19,175.32,4.8701E+17,175.37,1.0170E+19,175.48,4.6519E+16,175.53,3.1600E+17,175.03,1.0885E+17,175.11,5.0404E+22,175.46,5.0195E+17
176.01,1.9474E+19,176.06,5.2332E+17,176.11,1.0420E+19,176.22,4.8671E+16,176.27,2.8836E+17,175.77,1.0043E+17,175.85,4.9005E+22,176.2,4.9170E+17
176.74,1.7264E+19,176.79,5.8089E+17,176.84,1.0185E+19,176.95,5.4630E+16,177,3.0546E+17,176.5,1.0634E+17,176.58,4.9908E+22,176.93,5.5165E+17
177.48,2.1067E+19,177.53,5.0953E+17,177.58,1.0376E+19,177.69,5.3818E+16,177.74,3.0897E+17,177.24,1.0015E+17,177.32,4.9307E+22,177.67,4.7077E+17
178.21,1.9766E+19,178.26,4.9193E+17,178.31,9.2761E+18,178.42,4.9588E+16,178.47,3.0751E+17,177.97,1.0137E+17,178.05,5.1984E+22,178.4,4.9842E+17
178.95,2.1556E+19,179,5.5280E+17,179.05,1.0101E+19,179.16,5.1956E+16,179.21,2.7686E+17,178.71,9.1273E+16,178.79,4.7219E+22,179.14,4.6792E+17
179.68,2.2919E+19,179.73,5.2839E+17,179.78,1.0071E+19,179.89,4.6643E+16,179.94,3.0890E+17,179.44,1.0604E+17,179.52,5.1059E+22,179.87,5.0556E+17
180.42,2.0486E+19,180.47,5.1094E+17,180.52,9.9478E+18,180.63,5.1588E+16,180.68,3.2116E+17,180.18,9.3553E+16,180.26,4.9854E+22,180.61,5.6226E+17
181.15,1.9505E+19,181.2,4.9917E+17,181.25,1.0182E+19,181.36,5.5030E+16,181.41,2.8293E+17,180.91,1.0505E+17,180.99,5.1405E+22,181.34,4.9082E+17
181.89,1.9775E+19,181.94,4.9636E+17,181.99,1.0992E+19,182.1,5.0798E+16,182.15,2.8960E+17,181.65,1.0257E+17,181.73,4.8323E+22,182.08,5.3470E+17
182.62,2.0796E+19,182.67,4.9575E+17,182.72,1.1093E+19,182.83,5.1211E+16,182.88,3.2210E+17,182.38,1.0135E+17,182.46,5.0422E+22,182.81,4.6796E+17
183.36,1.9445E+19,183.41,4.8474E+17,183.46,9.9595E+18,183.57,5.0052E+16,183.62,2.8672E+17,183.12,9.6223E+16,183.2,5.0592E+22,183.55,5.4591E+17
184.09,1.9127E+19,184.14,5.3470E+17,184.19,9.5848E+18,184.3,4.9213E+16,184.35,3.0703E+17,183.85,9.7917E+16,183.93,5.0184E+22,184.28,5.2437E+17
184.83,2.0155E+19,184.88,5.2498E+17,184.93,1.0450E+19,185.04,4.7831E+16,185.09,2.9967E+17,184.59,9.7000E+16,184.67,5.0786E+22,185.02,5.3464E+17
185.56,2.2004E+19,185.61,5.0468E+17,185.66,1.0329E+19,185.77,4.9259E+16,185.82,2.9432E+17,185.32,9.8134E+16,185.4,5.1517E+22,185.75,4.2229E+17
186.3,2.1051E+19,186.35,5.2651E+17,186.4,9.1472E+18,186.51,4.5463E+16,186.56,3.1529E+17,186.06,9.4750E+16,186.14,5.2632E+22,186.49,5.4076E+17
187.03,2.0095E+19,187.08,5.4547E+17,187.13,1.0527E+19,187.24,5.3125E+16,187.29,2.9721E+17,186.79,1.0472E+17,186.87,4.9498E+22,187.22,5.1865E+17
187.77,1.9179E+19,187.82,5.2321E+17,187.87,1.0448E+19,187.98,4.8384E+16,188.03,3.0075E+17,187.53,1.0084E+17,187.61,5.2004E+22,187.96,4.8273E+17
188.51,2.0426E+19,188.56,4.8634E+17,188.61,1.0020E+19,188.72,4.6073E+16,188.77,2.9224E+17,188.27,9.5653E+16,188.35,4.9986E+22,188.7,5.2630E+17
189.24,2.1268E+19,189.29,4.9750E+17,189.34,1.0158E+19,189.45,5.2428E+16,189.5,3.0209E+17,189,9.8811E+16,189.08,4.8116E+22,189.43,4.8051E+17
189.98,1.9200E+19,190.03,4.7954E+17,190.08,9.8653E+18,190.19,5.3012E+16,190.24,2.8168E+17,189.74,9.8542E+16,189.82,4.5783E+22,190.17,5.2711E+17
190.71,2.0043E+19,190.76,5.2605E+17,190.81,9.1022E+18,190.92,5.3657E+16,190.97,2.9604E+17,190.47,1.0241E+17,190.55,4.8331E+22,190.9,4.7995E+17
191.45,2.0930E+19,191.5,5.0541E+17,191.55,9.8333E+18,191.66,5.3917E+16,191.71,3.1926E+17,191.21,1.0014E+17,191.29,5.4596E+22,191.64,5.0829E+17
192.18,2.1113E+19,192.23,4.6729E+17,192.28,1.0643E+19,192.39,4.8177E+16,192.44,2.8304E+17,191.94,1.0891E+17,192.02,5.1060E+22,192.37,5.0134E+17
192.92,2.0337E+19,192.97,5.1755E+17,193.02,9.1458E+18,193.13,4.9189E+16,193.18,3.0158E+17,192.68,9.9949E+16,192.76,5.3228E+22,193.11,4.7729E+17
193.65,2.0784E+19,193.7,5.0345E+17,193.75,9.8661E+18,193.86,5.1965E+16,193.91,2.9111E+17,193.41,1.0817E+17,193.49,5.0138E+22,193.84,4.9268E+17
194.39,1.9541E+19,194.44,4.9197E+17,194.49,9.8580E+18,194.6,5.3833E+16,194.65,3.1409E+17,194.15,1.0476E+17,194.23,4.9607E+22,194.58,4.5954E+17
195.12,1.9512E+19,195.17,4.9155E+17,195.22,1.0088E+19,195.33,4.5685E+16,195.38,2.8493E+17,194.88,9.5505E+16,194.96,4.8549E+22,195.31,4.9819E+17
195.86,2.0867E+19,195.91,5.1317E+17,195.96,1.1106E+19,196.07,5.2329E+16,196.12,3.1513E+17,195.62,1.0586E+17,195.7,4.8285E+22,196.05,4.7779E+17
196.59,2.0689E+19,196.64,5.0152E+17,196.69,9.7724E+18,196.8,4.7573E+16,196.85,2.9851E+17,196.35,9.3821E+16,196.43,4.9648E+22,196.78,5.0338E+17
197.33,2.1277E+19,197.38,5.3060E+17,197.43,9.7692E+18,197.54,4.7203E+16,197.59,2.8066E+17,197.09,1.0562E+17,197.17,4.7285E+22,197.52,4.8935E+17
198.06,2.0579E+19,198.11,5.0121E+17,198.16,1.0620E+19,198.27,5.0094E+16,198.32,2.8156E+17,197.82,9.7777E+16,197.9,4.9099E+22,198.25,4.8019E+17
198.8,2.0006E+19,198.85,5.3874E+17,198.9,9.9190E+18,199.01,5.1159E+16,199.06,2.8766E+17,198.56,1.0604E+17,198.64,5.1066E+22,198.99,5.2088E+17
199.53,2.0005E+19,199.58,5.0773E+17,199.63,9.8597E+18,199.74,5.0942E+16,199.79,3.0086E+17,199.29,1.0722E+17,199.37,5.2445E+22,199.72,4.8539E+17
200.27,2.0589E+19,200.32,5.0221E+17,200.37,9.8778E+18,200.48,4.7002E+16,200.53,2.9093E+17,200.03,1.0267E+17,200.11,5.0676E+22,200.46,5.4857E+17
